#,Model,NoUpd,Tag,id/name,groups_id,implied_ids,name,plan_id,mail_template_id,sequence,legend_blocked,legend_done,fold,date_start,date,color,user_id,type_ids,partner_id,privacy_visibility,favorite_user_ids,tag_ids,stage_id,analytic_account_id,res_model,res_id,res_model_id,activity_type_id,date_deadline,summary,create_uid,description,is_reached,deadline,reached_date,project_id,planned_hours,user_ids,create_date,milestone_id,planned_hours,priority,model,message_type,subtype_id,author_id,field,field_desc,old_value_char,new_value_char,field_type,old_value_integer,new_value_integer,mail_message_id,kanban_state,body,parent_id,recurrence_left,repeat_unit,repeat_on_month,repeat_type,repeat_number,repeat_day,repeat_weekday,next_recurrence_date,mon,tue,wed,thu,fri,recurring_task,recurrence_id,depend_on_ids,active,active,project_id,access_token,rated_partner_id,rating_template_id,user_id,progress,status
0,,,,,eval,eval,,ref,ref,,,,eval,eval,eval,,ref,eval,ref,,eval,eval,ref,ref,,ref,ref,ref,eval,,ref,,eval,eval,eval,ref,,eval,eval,ref,eval,,,,ref,ref,eval,,,,,,,ref,,,ref,,,,,,,,eval,eval,eval,eval,eval,eval,eval,ref,eval,eval,,,,ref,ref,eval,eval,
87,mail.message,1,record,project_2_task_1_mail_message_2,,,,,,,,,,,"DateTime.now() + relativedelta(weeks=-16, days=4)",,,,,,,,,,,project.project_2_task_1,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,mail.tracking.value,1,record,project_2_task_1_mail_message_2_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,In Progress,Done,many2one,2,3,project_2_task_1_mail_message_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,project.task,1,record,project_2_task_2,,,Basic outline,,,,,,,,,,,,,,,[Command.set([ref('project_tags_02')])],project_stage_2,,,,,,,,,,,,,project.project_project_2,24,[Command.link(ref('base.user_admin'))],DateTime.now() - relativedelta(months=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Command.link(ref('project.project_2_task_1'))],,,,,,,,,
90,mail.message,1,record,project_2_task_2_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(weeks=15),,,,,,,,,,,project.project_2_task_2,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,mail.tracking.value,1,record,project_2_task_2_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_2_task_2_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,mail.message,1,record,project_2_task_2_mail_message_2,,,,,,,,,,,DateTime.now() - relativedelta(weeks=14),,,,,,,,,,,project.project_2_task_2,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,mail.tracking.value,1,record,project_2_task_2_mail_message_2_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,In Progress,Done,many2one,2,3,project_2_task_2_mail_message_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,project.task,1,record,project_2_task_3,,,Planning and budget,,,,,,,,,6,,,,,,,project_stage_1,,,,,,DateTime.now() - relativedelta(days=4),,,,,,,project.project_project_2,,"[Command.link(ref('base.user_admin')), Command.link(ref('base.user_demo'))]",DateTime.now() - relativedelta(months=5),,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Command.link(ref('project.project_2_task_2'))],,,,,,,,,
95,mail.message,1,record,project_2_task_3_mail_message_1,,,,,,,,,,,"DateTime.now() + relativedelta(weeks=-14, days=1)",,,,,,,,,,,project.project_2_task_3,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,mail.tracking.value,1,record,project_2_task_3_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_2_task_3_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,mail.message,1,record,project_2_task_3_message_1,,,,,,,,,,,"(DateTime.now() + relativedelta(weeks=-9, days=2)).strftime('%Y-%m-%d 11:23:17')",,,,,,,,,,,project_2_task_3,,,,,,,,,,,,,,,,,project.task,comment,,base.partner_root,,,,,,,,,,"Hello Demo,
There is a change in customer requirement.
Can you check the document from customer again.
Thanks,",,,,,,,,,,,,,,,,,,,,,,,,,,
98,mail.message,1,record,project_2_task_3_message_2,,,,,,,,,,,"(DateTime.now() + relativedelta(weeks=-9, days=2)).strftime('%Y-%m-%d 12:04:58')",,,,,,,,,,,project_2_task_3,,,,,,,,,,,,,,,,,project.task,comment,,base.partner_demo,,,,,,,,,,"Ok, I have checked the mail,
I will update the document and let you know.",project_2_task_3_message_1,,,,,,,,,,,,,,,,,,,,,,,,,
99,mail.message,1,record,project_2_task_3_message_3,,,,,,,,,,,"(DateTime.now() + relativedelta(weeks=-9, days=2)).strftime('%Y-%m-%d 12:15:26')",,,,,,,,,,,project_2_task_3,,,,,,,,,,,,,,,,,project.task,comment,,base.partner_root,,,,,,,,,,"Fine!
Send it ASAP, its urgent.",project_2_task_3_message_2,,,,,,,,,,,,,,,,,,,,,,,,,
100,project.task,1,record,project_2_task_4,,,User interface improvements,,,,,,,,,2,,,,,,"[Command.set([
                    ref('project.project_tags_01'),
                    ref('project.project_tags_03')])]",project_stage_1,,,,,,DateTime.now() + relativedelta(days=1),,,,,,,project.project_project_2,,[Command.link(ref('base.user_admin'))],DateTime.now() - relativedelta(months=5),,16,1,,,,,,,,,,,,,done,,,,,,,,,,,,,,,,,,[Command.link(ref('project.project_2_task_3'))],,,,,,,,,
101,mail.message,1,record,project_2_task_4_mail_message_1,,,,,,,,,,,DateTime.now() + relativedelta(weeks=-11),,,,,,,,,,,project.project_2_task_4,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,mail.tracking.value,1,record,project_2_task_4_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_2_task_4_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,project.task,1,record,project_2_task_5,,,Social network integration,,,,,,,,,2,,,,,,,project_stage_1,,,,,,DateTime.now() + relativedelta(days=5),,,Facebook and Twitter integration,,,,project.project_project_2,,[Command.link(ref('base.user_demo'))],DateTime.now() - relativedelta(months=5),,38,1,,,,,,,,,,,,,blocked,,,,,,,,,,,,,,,,,,[Command.link(ref('project.project_2_task_3'))],,,,,,,,,
104,mail.message,1,record,project_2_task_5_mail_message_1,,,,,,,,,,,"DateTime.now() + relativedelta(weeks=-12, days=6)",,,,,,,,,,,project.project_2_task_5,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,mail.tracking.value,1,record,project_2_task_5_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_2_task_5_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,project.task,1,record,project_2_task_6,,,Create new components,,,,,,,,,11,,,,,,,project_stage_1,,,,,,DateTime.now() + relativedelta(days=4),,,,,,,project.project_project_2,42,FALSE,DateTime.now() - relativedelta(months=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Command.link(ref('project.project_2_task_3'))],,,,,,,,,
107,mail.message,1,record,project_2_task_6_mail_message_1,,,,,,,,,,,"DateTime.now() + relativedelta(weeks=-11, days=3)",,,,,,,,,,,project.project_2_task_6,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,mail.tracking.value,1,record,project_2_task_6_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_2_task_6_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,project.task,1,record,project_2_task_7,,,New portal system,,,,,,,,,,,,,,,[Command.set([ref('project.project_tags_02')])],project_stage_2,,,,,,,,,,,,,project.project_project_2,,"[Command.link(ref('base.user_admin')), Command.link(ref('base.user_demo'))]",DateTime.now() - relativedelta(months=5),,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Command.link(ref('project.project_2_task_3'))],,,,,,,,,
110,mail.message,1,record,project_2_task_7_mail_message_1,,,,,,,,,,,"DateTime.now() + relativedelta(weeks=-12, days=5)",,,,,,,,,,,project.project_2_task_7,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,mail.tracking.value,1,record,project_2_task_7_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_2_task_7_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,mail.message,1,record,project_2_task_7_mail_message_2,,,,,,,,,,,"DateTime.now() + relativedelta(weeks=-9, days=3)",,,,,,,,,,,project.project_2_task_7,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,mail.tracking.value,1,record,project_2_task_7_mail_message_2_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,In Progress,Done,many2one,2,3,project_2_task_7_mail_message_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,project.task,1,record,project_2_task_8,,,Usability review,,,,,,,,,7,,,,,,[Command.set([ref('project_tags_03')])],project_stage_0,,,,,,DateTime.now() + relativedelta(days=9),,,,,,,project.project_project_2,14,"[Command.link(ref('base.user_admin')), Command.link(ref('base.user_demo'))]",DateTime.now() - relativedelta(months=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Command.link(ref('project.project_2_task_7')), Command.link(ref('project.project_2_task_5')), Command.link(ref('project.project_2_task_4')), Command.link(ref('project.project_2_task_6'))]",,,,,,,,,
115,mail.message,1,record,project_2_task_8_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(weeks=10),,,,,,,,,,,project.project_2_task_8,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,mail.tracking.value,1,record,project_2_task_8_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_2_task_8_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,project.task,1,record,project_2_task_9,,,Document management,,,,,,,,,4,,,,,,,project_stage_0,,,,,,DateTime.now() + relativedelta(days=15),,,,,,,project.project_project_2,,"[Command.link(ref('base.user_admin')), Command.link(ref('base.user_demo'))]",DateTime.now() - relativedelta(months=5),,18,1,,,,,,,,,,,,,done,,,,,,,,,,,,,,,,,,[Command.link(ref('project.project_2_task_8'))],,,,,,,,,
118,project.task,1,record,project_2_task_10,,,Unit Testing,,,20,,,,,,5,,,,,,,project_stage_0,,,,,,DateTime.now() + relativedelta(days=15),,,The most important part!,,,,project.project_project_2,35,FALSE,DateTime.now() - relativedelta(months=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Command.link(ref('project.project_2_task_8'))],,,,,,,,,
119,project.task,1,record,project_2_task_11,,,Code Documentation,,,,,,,,,,,,,,,,project_stage_3,,,,,,,,,,,,,project.project_project_2,,[Command.link(ref('base.user_admin'))],DateTime.now() - relativedelta(months=5),,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
120,project.task,1,record,project_3_task_1,,,Entry Hall,,,,,,,,,3,,,,,,,project_stage_2,,,,,,,,,,,,,project.project_project_3,,[Command.link(ref('base.user_demo'))],,,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,project.task,1,record,project_3_task_2,,,Check Lift,,,,,,,,,4,,,,,,,project_stage_2,,,,,,DateTime.today() + relativedelta(days=-10),,,,,,,project.project_project_3,,[Command.link(ref('base.user_admin'))],,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,mail.message,1,record,project_3_task_2_message_1,,,,,,,,,,,(DateTime.now() - relativedelta(weeks=3)).strftime('%Y-%m-%d 09:42:13'),,,,,,,,,,,project_3_task_2,,,,,,,,,,,,,,,,,project.task,comment,,base.partner_admin,,,,,,,,,,"The elevator's state leaves much to be desired on many levels, we might need to take steps to repair it.",,,,,,,,,,,,,,,,,,,,,,,,,,
123,mail.message,1,record,project_3_task_2_message_2,,,,,,,,,,,(DateTime.now() - relativedelta(weeks=3)).strftime('%Y-%m-%d 10:23:48'),,,,,,,,,,,project_3_task_2,,,,,,,,,,,,,,,,,project.task,comment,,base.partner_demo,,,,,,,,,,"This is not very uplifting, it would probably raise the expenses by a lot. ??",project_3_task_2_message_1,,,,,,,,,,,,,,,,,,,,,,,,,
124,mail.message,1,record,project_3_task_2_message_3,,,,,,,,,,,(DateTime.now() - relativedelta(weeks=3)).strftime('%Y-%m-%d 10:57:04'),,,,,,,,,,,project_3_task_2,,,,,,,,,,,,,,,,,project.task,comment,,base.partner_admin,,,,,,,,,,"I know, it's driving me up the wall.",project_3_task_2_message_2,,,,,,,,,,,,,,,,,,,,,,,,,
125,project.task,1,record,project_3_task_3,,,Room 1: Paint,,,,,,,,,9,,,,,,[Command.set([ref('project_tags_01')])],project_stage_2,,,,,,DateTime.today() - relativedelta(days=5),,,Repaint the walls with the hex color #0FF1CE,,,,project.project_project_3,,[Command.link(ref('base.user_admin'))],,,24,0,,,,,,,,,,,,,done,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,project.task,1,record,project_3_task_4,,,Bathroom,,,,,,,,,,,,,,,,project_stage_2,,,,,,,,,,,,,project.project_project_3,,[Command.link(ref('base.user_admin'))],,,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,project.task,1,record,project_3_task_5,,,Room 2: Paint,,,,,,,,,,,,,,,,project_stage_3,,,,,,,,,,,,,project.project_project_3,,[Command.link(ref('base.user_demo'))],,,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,
128,project.task,1,record,project_private_task_1,,,Buy a gift for Marc Demo's birthday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Command.link(ref('base.user_admin'))],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,project.task,1,record,project_private_task_2,,,Change left screen cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Command.link(ref('base.user_admin'))],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,project.task,1,record,project_private_task_3,,,Clean kitchen fridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Command.link(ref('base.user_demo'))],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,project.task,1,record,project_private_task_4,,,Check employees lunch accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Command.link(ref('base.user_demo'))],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,rating.rating,1,record,rating_task_1,,,,,,,,,,,,,,,base.partner_demo_portal,,,,,,,project.project_1_task_3,project.model_project_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROJECT_1,base.partner_root,,,,
133,rating.rating,1,record,rating_task_2,,,,,,,,,,,,,,,base.partner_demo,,,,,,,project.project_2_task_7,project.model_project_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROJECT_2,base.partner_demo,,,,
134,rating.rating,1,record,rating_task_3,,,,,,,,,,,,,,,base.partner_demo_portal,,,,,,,project.project_1_task_4,project.model_project_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROJECT_3,base.partner_root,,,,
135,rating.rating,1,record,rating_task_4,,,,,,,,,,,,,,,base.partner_demo_portal,,,,,,,project.project_1_task_2,project.model_project_task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROJECT_4,base.partner_root,,,,
136,project.task.type,1,record,project.project_stage_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rating_project_request_email_template,,,
137,project.update,1,record,project_update_1,,,Review of the situation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref('base.user_demo'),15,at_risk
138,project.update,1,record,project_update_2,,,Weekly review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref('base.user_admin'),35,at_risk
